METHODNAME,Result Analytical Method ID,Result Analytical Method Context
8260GRO,,
EPA 180.1,180.1,USEPA
EPA 200.7,200.7,USEPA
EPA 200.9,200.9,USEPA
EPA 245.1,245.1_M,USEPA
EPA 300.0,300,USEPA
EPA 8260B,8260B,USEPA
SM1030F,,
SM2320B,2320-B,APHA
SM2540C,2540-C,APHA
SM4500CNE,,
SM4500-H+ B,,
SM4500-N,,
SM4500NH3C,,
SM4500-Norg B,,
SM5540C,,
8015DRO,,
EPA 218.6,218.6,
SM4500-Cl F,,
SM4500-O G,,
SM9221,,
Anions by EPA Method 300.0,300.0,USEPA
Conventional Chemistry Parameters by APHA/EPA Meth,,
Metals by EPA 200 Series Methods,,
Microbiological Parameters by APHA Standard Method,,
TPH by EPA/LUFT GC/GCMS Methods,,
Volatile Organic Compounds by EPA Method 8260B,,
SM9221B,,
SM9221E,,
SM4500-No B,,
10-204-00-1X,,
SM3500-Cr B,,
SM9223,,
SM2130B,,
SM4500-NH3 C,,
SM4500-P E,,
