wqx_column_name,in_template,transducer_colname,qapp_colname,description
Activity ID,Yes,,,"A unique identifier for each Activity (an Activity can be based on a unique lab ID, a suite of on-site field measurements, an individual sample, etc);  Results within one Activity must share the same Activity Type and Activity Medium (example:  a water sample and a sediment sample must be separate Activities; a water sample and a measurement made in the field must be separate Activities; 2 lab results from the same water sample can be the same activity)"
Activity Type,Yes,Sample-Routine,,"Type of Activity (example: Field Msr/Obs, Sample-Routine, etc.)"
Activity Media Name,Yes,MATRIX,,"Medium in which sample or measurement was taken (example: Water, Sediment, etc.)"
Activity Media Subdivision Name,No,,,Name or code indicating the subdivision of media the sample was collected in.
Activity Start Date,Yes,SAMPDATE,,Date Activity began (YYYY-MM-DD)
Activity Start Time,Yes,SAMPDATE,,Time Activity began (HH:MM:SS)
Activity Start Time Zone,Yes,SAMPDATE,,"Time Zone for Activity Start Time, required if Activity Start Time entered"
Activity End Date,No,,,Date Activity ended (YYYY-MM-DD)
Activity End Time,No,,,Time Activity ended (HH:MM:SS)
Activity End Time Zone,No,,,"Time Zone for Activity End Time, required if Activity End Time entered"
Activity Relative Depth Name,No,,,The name that indicates the approximate location within the water column at which the activity occurred. 
Activity Depth/Height Measure,Yes,,,The distance from the surface to the point in the water column at which the activity is conducted (depth or height measured from a reference point)
Activity Depth/Height Unit,Yes,,,"Units for Activity Depth Height Measure, required if Activity Depth Height Measure entered"
Activity Top Depth/Height Measure,No,,,The upper vertical extent of an activity (measured from a reference point).
Activity Top Depth/Height Unit,No,,,"Units for Activity Top Depth Height Measure, required if Activity Top Depth Height Measure entered"
Activity Bottom Depth/Height Measure,No,,,The lower vertical extent of an activity (measured from a reference point).  May not be reported if Activity Depth/Height Measure is reported.  Required if Activity Type is Sample-Integrated Vertical Profile.
Activity Bottom Depth/Height Measure Unit,No,,,"Units for Activity Bottom Depth Height Measure, required if Activity Bottom Depth Height Measure entered"
Activity Depth Altitude Reference Point,No,,,The reference used to indicate the datum or reference used to establish the depth/altitude of an activity.
Project ID,Yes,SWQM_DCR,,"Valid Project ID; separate multiple Projects with ""\""."
Organization,No,,,A name of the Organization conducting an activity.
Monitoring Location ID,Yes,SAMPLENAME,,Valid Monitoring ID; required for most Activity Type Codes; Must correspond to Monitoring Locations already in WQX/STORET or entered in Monitoring Locations tab
Activity Comment,No,,,General comments concerning the activity.
Activity Latitude,No,,,Latitude of actual monitoring site if different from formal station description
Activity Longitude,No,,,Longitude of actual monitoring site if different from formal station description
Activity Source Map Scale,No,,,"Integer representing distance on ground for one unit of measure on map or photo, required when Horizontal Collection Method Name is ""Interpolation-Map"""
Activity Horizontal Accuracy Measure,No,,,The horizontal measure indicating the relative accuracy of the latitude and longitude coordinates
Activity Horizontal Accuracy Unit,No,,,"Unit of measure of the relative accuracy, required if Activity Horizontal Accuracy Measure is reported."
Activity Horizontal Collection Method,No,,,"Method used to determine Lat/Long coordinates, required when Activity Location is provided."
Activity Horizontal Coordinate Reference System,No,,,"Datum used to determine Lat/Long, required when Activity Location is provided."
Sample Collection Method ID,Yes,DCR-QAPP,,"User defined ID code assigned by organization, required if Activity Type Code contains the word ""Sample"", also require context (assigning organization) and name of method, see Analytical & Collection Methods Tab"
Sample Collection Equipment Name,Yes,Water Bottle,,"Gear used to collect sample, required if Sample Collection Method is present"
Sample Collection Equipment Comment,Yes,,,General comments further describing the Sample Collection Equipment used
Sample Preparation Method ID,No,,,The identification number or code assigned by the method publisher.
Sample Container Type,No,,,The text describing the sample container type.  Required if Sample Preparation Method ID is reported.
Sample Container Color,No,,,The text describing the sample container color.  Required if Sample Preparation Method ID is reported.
Chemical Preservative Used,No,,,Information describing the chemical means to preserve the sample.  Either Chemical Preservative Used or Thermal Preservative Used must be provided if the Sample Preparation Method ID is reported.
Thermal Preservative Used,No,,,Information describing the thermal preservation of the sample.  Either Chemical Preservative Used or Thermal Preservative Used must be provided if the Sample Preparation Method ID is reported.
Sample Transport Storage Description,No,,,The text describing sample handling and transport procedures used.  Required if Sample Preparation Method ID is reported.
Activity Attachment File Name,No,,,The text describing the descriptive name used to represent the Activity Attachment file including file extension.
Activity Attachment Type,No,,,The text or acronym describing the binary content type of a file.  Required if Activity Attachment File Name is reported.
